id,text,Not Toxic,Hard to Say,Toxic,Very Toxic,category_卑語,category_差別,category_迷惑行為,category_猥褻,category_出会い・プライバシー侵害,category_違法行為,category_偏向表現,annotation_num
0,いわゆる天使だろ,2,0,0,1,0,0,0,0,0,0,0,3
3,底知れないカリスマ性があるよな,4,0,0,0,0,0,0,0,0,0,0,4
9,ありがとう,5,0,0,0,0,0,0,0,0,0,0,5
10,地味にこれが一番きつい,3,1,0,0,0,0,0,0,0,0,0,4
14,ヤクザより怖い,1,3,0,0,1,3,2,0,0,1,0,4
15,それこそ悪魔だわ,3,1,0,0,0,1,0,0,0,0,1,4
16,ずるいわ,4,0,0,0,0,0,0,0,0,0,0,4
17,こういう明らかに流行るゲームはせめてスタートダッシュかまさないとな,4,0,0,0,0,0,0,0,0,0,0,4
27,あっためかえしかよ,3,1,0,0,0,0,0,0,0,0,0,4
28,ナイス壁,4,0,0,0,0,0,0,0,0,0,0,4
36,ナイス大地,4,0,0,0,0,0,0,0,0,0,0,4
38,この結論を導くために実施された市民投票なんだろ,2,2,0,0,0,0,0,0,0,0,1,4
39,ちんちんのちんちん小さそう,1,0,1,2,3,4,4,4,0,0,0,4
40,おっぱいから声出てるからな,0,0,2,2,3,4,3,4,0,0,0,4
47,この人にキャスターやらせろよ,4,0,0,0,0,0,0,0,0,0,0,4
48,絶対ムリなのに中国は何なんだ,1,3,0,0,1,3,0,0,0,0,1,4
53,なんだろみんなお胸がすごいことになってるのに,0,3,1,0,2,3,0,3,0,0,0,4
56,街の様子がとてもコロナ前,4,0,0,0,0,0,0,0,0,0,0,4
59,連絡取ってた女が会う直前に音信不通になったりするしな,3,1,0,0,0,0,0,0,0,0,0,4
60,士業は路頭に迷え,0,1,2,1,1,4,5,0,0,0,0,4
62,周りの奴らも詐欺行為を止められなかったんだから同罪だよ,0,3,1,0,1,0,2,0,0,1,0,4
63,競輪選手目指せよ,4,0,0,0,0,0,0,0,0,0,0,4
68,これ心臓マヒで死ぬだろ,2,2,0,0,0,1,1,0,0,0,1,4
70,特待生枠に入れるような子は一握り,4,0,0,0,0,0,0,0,0,0,0,4
73,なるなるなんとかなる,4,0,0,0,0,0,0,0,0,0,0,4
74,高知県と間違えてないかな,4,0,0,0,0,0,0,0,0,0,0,4
78,今からどんだけ捲れるか,4,0,0,0,0,0,0,0,0,0,0,4
82,年金天引きの極悪仕様たからな,2,2,0,0,0,2,0,0,0,0,1,4
83,逝き先も解らぬまま,3,1,0,0,1,0,0,0,0,0,0,4
84,この家からカレーのぐらいわかるだろ,4,0,0,0,0,0,0,0,0,0,0,4
85,買い切りさせるなら客単価上げるしかないやろな,4,0,0,0,0,0,0,0,0,0,0,4
93,発行は違うけど請求はするだろ,4,0,0,0,0,0,0,0,0,0,0,4
95,首都圏ならともかく田舎ならそんなに感染する可能性は高くないだろ,2,2,0,0,0,1,0,0,0,0,2,4
99,早い方が助かる,4,0,0,0,0,0,0,0,0,0,0,4
101,松屋はカルビ焼肉定食を食べに行くところぞ,2,0,0,0,0,0,0,0,0,0,0,2
103,原因は何だったんだろ,2,0,0,0,0,0,0,0,0,0,0,2
106,下げすぎたせいかそうきてないな,2,0,0,0,0,0,0,0,0,0,0,2
109,完,2,0,0,0,0,0,0,0,0,0,0,2
110,もはや様式美、逃す所も含めて,1,1,0,0,0,0,1,0,0,0,0,2
111,アップデートしちゃった人はかいりきバグの人柱になってくれ,1,1,0,0,0,0,1,0,0,0,0,2
114,なるほど,2,0,0,0,0,0,0,0,0,0,0,2
116,なんか居て草,1,1,0,0,0,0,0,0,0,0,0,2
117,ただちに問題があったようだ,2,0,0,0,0,0,0,0,0,0,0,2
118,いいなそれ真似しよう,2,0,0,0,0,0,0,0,0,0,0,2
119,球審もご立腹やな,2,0,0,0,0,0,0,0,0,0,0,2
127,そのための安いやつだし,2,0,0,0,0,0,0,0,0,0,0,2
128,働けよ無職,0,0,1,1,0,2,3,0,0,0,0,2
132,警官とボディーガードなのにヤンキーは草なんだ,0,2,0,0,1,0,0,0,0,0,0,2
133,また改装に金かかるし踏んだり蹴ったりやな,1,1,0,0,0,0,0,0,0,0,0,2
135,なんたって犯罪がなかったことにされる可能性が高いんだから,2,0,0,0,0,0,0,0,0,0,1,2
136,むこうはタイトルに間違った一言付いてるからこっち使おう,2,0,0,0,0,0,0,0,0,0,0,2
138,たき火って条例で禁止されてるだろ,2,0,0,0,0,0,0,0,0,0,0,2
139,元中核派,1,1,0,0,0,0,0,0,0,0,1,2
142,木を隠すなら森の中、やで,2,0,0,0,0,0,0,0,0,0,0,2
149,非オーム素子にオームの法則を当てはめるバカ,0,0,2,0,0,0,2,0,0,0,0,2
150,その手の作業苦手な奴はいくらでも時間かかるぞ,1,1,0,0,0,0,1,0,0,0,0,2
151,企画自体は悪くねーけど解説とか向いてないと思う,1,1,0,0,0,0,1,0,0,0,0,2
152,ソースはやく,2,0,0,0,0,0,0,0,0,0,0,2
153,オリンピック出られないな,2,0,0,0,0,0,0,0,0,0,0,2
156,しね,0,0,1,1,1,0,5,0,0,0,0,2
157,頑張ってほしい,2,0,0,0,0,0,0,0,0,0,0,2
158,即ち自民党の弱体化が止まらなくなってる頃だな,0,0,2,0,0,0,1,0,0,0,2,2
159,リクエスト無駄よ,1,1,0,0,0,0,0,0,0,0,0,2
160,珍しいお辞儀,2,0,0,0,0,0,0,0,0,0,0,2
161,これに憧れたのが連合赤軍の革命左派だからな,1,0,1,0,0,0,1,0,0,0,1,2
162,お爺さんかわいそう,1,1,0,0,0,1,0,0,0,0,0,2
163,雨だから投票率下がるよね,2,0,0,0,0,0,0,0,0,0,0,2
164,金曜に出るって書いてあった,2,0,0,0,0,0,0,0,0,0,0,2
171,土人は怖いな,0,0,2,0,0,2,2,0,0,0,0,2
172,それもピンピンしてる,2,0,0,0,0,0,0,0,0,0,0,2
173,つか普通に外部にいうなくらいだったんじゃね,2,0,0,0,0,0,0,0,0,0,0,2
177,声がががががが,2,0,0,0,0,0,0,0,0,0,0,2
180,防災系の設備じゃない事を願うわ,2,0,0,0,0,0,0,0,0,0,0,2
183,仇討ち制度復活で。,2,0,0,0,0,0,0,0,0,0,0,2
185,新しい提供だな,2,0,0,0,0,0,0,0,0,0,0,2
187,はよ原子力潜水艦作れよ,1,1,0,0,0,0,0,0,0,0,1,2
189,いやバカじゃん,0,0,2,0,0,0,2,0,0,0,0,2
190,なんでデマ指摘されたら開き直るんだろうこういう人,0,1,1,0,0,0,3,0,0,0,0,2
198,東京がええよ,2,0,0,0,0,0,0,0,0,0,0,2
199,そろそろしっぺ返し来るで,2,0,0,0,0,0,0,0,0,0,0,2
202,人が居たら避けるだろ,2,0,0,0,0,0,0,0,0,0,0,2
205,犬やと思えばまあまあ,1,1,0,0,0,0,0,0,0,0,0,2
215,とんかつできるなら余裕だろ,2,0,0,0,0,0,0,0,0,0,0,2
219,そのクラスになると増やすためじゃなくて減らさないためにやってそうだな,2,0,0,0,0,0,0,0,0,0,0,2
221,なめてるな,0,1,1,0,0,0,2,0,0,0,0,2
222,もう審査員私が変わりましょうか,1,1,0,0,0,0,0,0,0,0,0,2
225,ずっと下げてきたのが上昇したのか,2,0,0,0,0,0,0,0,0,0,0,2
228,刃物舐めんな,1,1,0,0,0,0,0,0,0,0,0,2
230,今日はがんもの配信やぞ,2,0,0,0,0,0,0,0,0,0,0,2
232,こんだけ手掛けたらうまいやろそりゃ,1,1,0,0,0,0,0,0,0,0,0,2
238,ハゲいらいらで草,0,0,2,0,1,1,3,0,0,0,0,2
242,この曲は胸元が空いた衣装でないと,0,1,1,0,1,1,0,2,0,0,0,2
246,辞めるなもったいない,2,0,0,0,0,0,0,0,0,0,0,2
247,女優のうたって元アイドルやがな,2,0,0,0,0,0,0,0,0,0,0,2
249,ちょっとこれは相手に対しても失礼,1,1,0,0,0,0,0,0,0,0,0,2
250,ペンギンが居るから恥ずかしくない,1,1,0,0,0,0,0,0,0,0,0,2
251,おっさんは助けるよ,1,1,0,0,0,0,0,0,0,0,0,2
254,遥か下なら仕方ないっす,1,1,0,0,0,0,0,0,0,0,0,2
258,乙,4,1,0,0,0,0,1,0,0,0,0,5
261,滑らせるためにおいでやす呼んでるの冷めるわ,0,2,0,0,0,0,1,0,0,0,0,2
266,隊長でも余裕で勝てるね,1,1,0,0,0,0,0,0,0,0,0,2
267,後任幹事長予想しようや,2,0,0,0,0,0,0,0,0,0,0,2
268,自分で言うことじゃないよな,2,0,0,0,0,0,0,0,0,0,0,2
269,女のわけわからん話まじめに聞いてそうよな,0,0,2,0,0,1,4,0,0,0,0,2
278,アニメやっても跳ねないの怖いからずっとこのままでもええで,2,0,0,0,0,0,0,0,0,0,0,2
279,去年は普通に戦力でしたし,2,0,0,0,0,0,0,0,0,0,0,2
282,映画史に残る手に汗握るシーン来た,2,0,0,0,0,0,0,0,0,0,0,2
284,心霊映像やろこれ,1,1,0,0,0,0,0,0,0,0,0,2
286,台湾場所か,2,0,0,0,0,0,0,0,0,0,0,2
287,小麦を作れ,1,1,0,0,0,0,0,0,0,0,0,2
290,全く意味がわからない,1,1,0,0,0,0,0,0,0,0,0,2
291,おきに流されるぞ,2,0,0,0,0,0,0,0,0,0,0,2
292,新幹線通ってるんやな,1,1,0,0,0,1,0,0,0,0,0,2
293,野良猫の力がどんなもんか知らんが一応女やぞ,0,2,0,0,0,0,0,0,0,0,0,2
294,つスミレの花咲く頃,2,0,0,0,0,0,0,0,0,0,0,2
299,なんか指したかな,2,0,0,0,0,0,0,0,0,0,0,2
300,渋谷のアパート,2,0,0,0,0,0,0,0,0,0,0,2
301,もう引退した方が,1,0,1,0,0,0,1,0,0,0,0,2
304,電車走り出したらだんだん緩んできそう,2,0,0,0,0,0,0,0,0,0,0,2
305,夏場とか地獄だろ,1,1,0,0,0,0,0,0,0,0,0,2
306,アニメ化だなぁ,2,0,0,0,0,0,0,0,0,0,0,2
310,待っててくれよな,2,0,0,0,0,0,0,0,0,0,0,2
318,人間よりも体重の軽い犬にも使える安全性の高い薬剤ですよね,0,1,1,0,0,0,0,0,0,0,2,2
319,うまどき,2,0,0,0,0,0,0,0,0,0,0,2
323,邪魔なビルだな,1,1,0,0,0,0,1,0,0,0,0,2
327,このころに比べると随分綺麗になったな,2,0,0,0,0,0,0,0,0,0,0,2
328,宮内庁はさっさと発表しろ,0,1,1,0,0,0,0,0,0,0,1,2
334,駅は通るだろうよ,2,0,0,0,0,0,0,0,0,0,0,2
335,多様性なところほんとにすまん,1,1,0,0,0,0,0,0,0,0,0,2
336,アホのオウムがえし,1,0,1,0,0,0,2,0,0,0,0,2
337,この子,2,0,0,0,0,0,0,0,0,0,0,2
339,それはそれで残念やね,1,1,0,0,0,0,0,0,0,0,0,2
340,あああああなああああたああああああああ,0,0,2,0,0,0,0,0,0,0,0,2
345,これ互角開けるの朝になりそうですね,1,1,0,0,0,0,0,0,0,0,0,2
346,本編書いてもらってから,1,1,0,0,0,0,0,0,0,0,0,2
351,上からじょうろで水でもかけなきゃ再現できないな,1,1,0,0,0,0,0,0,0,0,0,2
353,すまん、一個上と間違えた。,2,0,0,0,0,0,0,0,0,0,0,2
354,コントロール良すぎて草,2,0,0,0,0,0,0,0,0,0,0,2
355,バイエルンがリーグ優勝するくらい,1,1,0,0,0,0,0,0,0,0,0,2
356,とりあえず今は誰かにもこうとるなを引き離して欲しいわ,1,1,0,0,0,0,0,0,1,0,0,2
357,そらこれだけ構って貰えたら居心地良くて住み着くわ,1,1,0,0,0,0,1,0,0,0,0,2
361,国債発行の限界は金額ではなくインフレ率で決まる,1,1,0,0,0,0,0,0,0,0,1,2
363,何度もというか初めて見たが,2,0,0,0,0,0,0,0,0,0,0,2
364,どこ経由で飼おうが自由じゃないかしら,2,0,0,0,0,0,0,0,0,0,0,2
365,豆腐の単位は一斤じゃないって言ってるの,2,0,0,0,0,0,0,0,0,0,0,2
367,低身長のヒールはやばいって,0,0,2,0,0,1,1,0,0,0,0,2
369,それ自分も買ってみたけど音質が悪すぎてお蔵入り,2,0,0,0,0,0,0,0,0,0,0,2
371,そんなの逆に日本でいくらでもやってただろ,1,1,0,0,0,0,0,0,0,0,0,2
372,へいへいブックだけは潰して欲しいの,0,1,1,0,0,0,2,0,0,0,0,2
374,やめやめ,1,1,0,0,0,0,0,0,0,0,0,2
376,まだ騙されとる奴おるんか,0,0,2,0,0,0,2,0,0,0,0,2
381,キレがなさすぎる,0,1,1,0,0,0,1,0,0,0,0,2
382,彼女の友達もかわいかった記憶,2,0,0,0,0,0,0,0,0,0,0,2
384,筋肉があるようには見えないんだよな,2,0,0,0,0,1,0,0,0,0,0,2
385,本,2,0,0,0,0,0,0,0,0,0,0,2
386,ありがと見るわ,2,0,0,0,0,0,0,0,0,0,0,2
387,まぁ日本一のボンボンやしな,1,0,1,0,0,0,1,0,0,0,0,2
388,コロナ爆発してんだから行かれへんやん,1,1,0,0,0,0,0,0,0,0,0,2
393,これ見た事あるな,2,0,0,0,0,0,0,0,0,0,0,2
395,しかし人気ないなあ,1,1,0,0,0,0,0,0,0,0,0,2
398,伝説の宝見つけた少年みたいな反応やめろ,1,1,0,0,0,0,1,0,0,0,0,2
399,「新築の家にはソーラー設置を義務付けます」,1,1,0,0,0,0,0,0,0,0,0,2
400,シングルだるい,1,1,0,0,0,0,0,0,0,0,0,2
401,そしてなぜか迫撃砲である,1,1,0,0,0,0,0,0,0,0,0,2
403,バランスが崩れる,2,0,0,0,0,0,0,0,0,0,0,2
404,撤去作業も映せや,0,2,0,0,1,0,0,0,0,0,0,2
405,ためになった,2,0,0,0,0,0,0,0,0,0,0,2
406,許可取れてるからって所々舐めくさっとるよな,0,0,2,0,1,0,1,0,0,0,0,2
407,また改名しそう,1,1,0,0,0,0,0,0,0,0,0,2
408,トレンド入りしてるの笑う,2,0,0,0,0,0,0,0,0,0,0,2
410,見てないから知らない,2,0,0,0,0,0,0,0,0,0,0,2
413,そうだね,2,0,0,0,0,0,0,0,0,0,0,2
415,こういう養殖じゃないんだよなあ,2,0,0,0,0,0,0,0,0,0,0,2
418,品川駅停電で大混乱よ,2,0,0,0,0,0,0,0,0,0,0,2
419,木だけに,2,0,0,0,0,0,0,0,0,0,0,2
422,最後のひと踏ん張り保守,2,0,0,0,0,0,0,0,0,0,0,2
425,お前も荒らしみたいなもんだよ。,0,0,2,0,0,0,4,0,0,0,0,2
426,なんでなんや,2,0,0,0,0,0,0,0,0,0,0,2
427,だっさ,0,0,2,0,0,0,4,0,0,0,0,2
430,これは不具合修正で報告するしかないと思う,2,0,0,0,0,0,0,0,0,0,0,2
431,ターボはスタートに超加速固有にして,2,0,0,0,0,0,0,0,0,0,0,2
433,ハロウィンはもう終わったんだ,2,0,0,0,0,0,0,0,0,0,0,2
435,うんシャイは公式じゃなくてゴミ箱視点見ろな,0,2,0,0,1,0,1,0,0,0,0,2
437,わかる,2,0,0,0,0,0,0,0,0,0,0,2
440,終わらねぇ,2,0,0,0,0,0,0,0,0,0,0,2
442,はい,2,0,0,0,0,0,0,0,0,0,0,2
443,女子中高生のキャラクターが、温泉地のコンパニオンか何かと混同されてる,2,0,0,0,0,2,0,1,0,0,0,2
446,も乗せてるのかな,2,0,0,0,0,0,0,0,0,0,0,2
449,あと、話しが続かないわねー。とか,2,0,0,0,0,0,0,0,0,0,0,2
455,男でもありだな。ってなる,1,1,0,0,0,0,0,0,0,0,0,2
458,乙です,2,0,0,0,0,0,0,0,0,0,0,2
459,また大人の階段のぼってんのか,1,1,0,0,0,0,0,1,0,0,0,2
461,プロのパイセンに質問,2,0,0,0,0,0,0,0,0,0,0,2
462,確かに,2,0,0,0,0,0,0,0,0,0,0,2
463,ありがとうございました,2,0,0,0,0,0,0,0,0,0,0,2
464,浅いな色々と,1,0,1,0,0,0,1,0,0,0,0,2
465,貧乏人つら,0,2,0,0,0,0,1,0,0,0,0,2
466,手術してたんか先言ってくれや,2,0,0,0,0,0,0,0,0,0,0,2
467,衝撃だわ,2,0,0,0,0,0,0,0,0,0,0,2
468,スペル間違えた,2,0,0,0,0,0,0,0,0,0,0,2
473,好きだねえ人気話,1,1,0,0,0,0,0,0,0,0,0,2
474,民営化しても守ると言ってたんだからな,1,1,0,0,0,0,0,0,0,0,0,2
477,左ふたり草,1,1,0,0,0,0,0,0,0,0,0,2
479,遺伝子残して欲しかったな,1,0,1,0,0,1,0,0,0,0,0,2
480,手かざし,2,0,0,0,0,0,0,0,0,0,0,2
486,御殿場でめっちゃ支持されとるが,2,0,0,0,0,0,0,0,0,0,0,2
487,下手じゃないけどアスク衣装が単純に似合ってない,1,0,1,0,0,0,1,0,0,0,0,2
489,帰らせんなそんな奴,0,1,1,0,0,0,1,0,0,0,0,2
490,そろそろ始まりそう,2,0,0,0,0,0,0,0,0,0,0,2
493,ハゲ弱くなったし、上きつくなったか,0,2,0,0,1,0,0,0,0,0,0,2
497,線が無いから…,2,0,0,0,0,0,0,0,0,0,0,2
498,登場人物の年齢が高すぎる,0,2,0,0,0,1,0,0,0,0,0,2
500,虎屋の羊羹はやっぱり美味しいし貰うと嬉しいわ,2,0,0,0,0,0,0,0,0,0,0,2
509,絶対逃げれない。,2,0,0,0,0,0,0,0,0,0,0,2
511,これで視聴率稼ぐのは無理だろ・・・,1,1,0,0,0,0,0,0,0,0,0,2
512,この番組初めて見たよ,2,0,0,0,0,0,0,0,0,0,0,2
